Name,Batch,Role,Company,LinkedIn,ImageUrl,Bio,Expertise,Achievements
Max Müller,WS 2024,Founder & CEO,TechVenture,https://linkedin.com/in/maxmueller,/FounderPics/Jost Reelsen.jpg,"Passionate entrepreneur building the next generation of AI-powered solutions. Started coding at 15 and never looked back.","AI, Machine Learning, Product Management","Raised €2M seed funding, Built team of 15 engineers"
Sarah Schmidt,WS 2024,Co-Founder & CTO,HealthTech GmbH,https://linkedin.com/in/sarahschmidt,/FounderPics/Jost Reelsen.jpg,"Tech enthusiast with a mission to revolutionize healthcare through innovative software solutions.","Software Engineering, Healthcare Tech, Backend Development","Launched product used by 50+ clinics"
Tom Wagner,SS 2024,Founder,EcoSolutions,https://linkedin.com/in/tomwagner,/FounderPics/Jost Reelsen.jpg,"Environmental engineer turned entrepreneur. Building sustainable solutions for a better tomorrow.","Sustainability, Climate Tech, Operations","Winner of Green Innovation Award 2024"
Anna Becker,SS 2024,Co-Founder,FoodTech Innovations,,/FounderPics/Jost Reelsen.jpg,"Food scientist passionate about reducing food waste and creating sustainable food systems.","Food Science, Supply Chain, Business Development",
Lisa Hoffmann,WS 2023,Founder & CEO,FinanceApp,https://linkedin.com/in/lisahoffmann,/FounderPics/Jost Reelsen.jpg,"Former consultant turned fintech founder. Making financial literacy accessible to everyone.","Fintech, Product Strategy, UX Design","Featured in Forbes 30 Under 30"
Michael Klein,WS 2023,Co-Founder & CPO,MobilityTech,https://linkedin.com/in/michaelklein,/FounderPics/Jost Reelsen.jpg,"Mechanical engineer building the future of urban mobility.","Product Design, Mobility, Hardware Engineering","Patent holder, 3 mobility innovations"
Julia Fischer,SS 2023,Founder,EdTech Solutions,https://linkedin.com/in/juliafischer,/FounderPics/Jost Reelsen.jpg,"Former teacher with a vision to transform education through technology.","EdTech, Curriculum Design, Sales","Platform used by 100+ schools"
David Meyer,SS 2023,Co-Founder & CTO,CloudSystems,,/FounderPics/Jost Reelsen.jpg,"Cloud architect and infrastructure expert building scalable enterprise solutions.","Cloud Computing, DevOps, Security",
Sophie Weber,WS 2022,Founder & CEO,RetailTech GmbH,https://linkedin.com/in/sophieweber,/FounderPics/Jost Reelsen.jpg,"Retail expert digitizing the shopping experience for modern consumers.","E-commerce, Retail Tech, Marketing","Grew to €5M ARR in 18 months"
Lukas Schneider,WS 2022,Co-Founder,SportsTech,https://linkedin.com/in/lukasschneider,/FounderPics/Jost Reelsen.jpg,"Professional athlete turned entrepreneur. Bringing data analytics to sports performance.","Sports Science, Data Analytics, Coaching","Works with 5 professional sports teams"
Emma Zimmermann,SS 2022,Founder,FashionTech,https://linkedin.com/in/emmazimmermann,/FounderPics/Jost Reelsen.jpg,"Fashion designer leveraging technology for sustainable fashion production.","Fashion Design, Sustainability, Supply Chain","Showcased at Berlin Fashion Week"
Jonas Richter,SS 2022,Co-Founder & CTO,PropTech Ventures,,/FounderPics/Jost Reelsen.jpg,"Software engineer transforming the real estate industry with innovative solutions.","Real Estate, Software Development, AI",
